transaction_hash,from_address,to_address,value_transferred,block_timestamp,network_latency_ms,drain_percentage,velocity_1h,geo_distance_km,failed_auth_attempts,offchain_invoice_uri,kyc_status,anomaly_label
0xeth_demo_01_routine,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,15000.0,1785213521,45.0,2.0,1,15.0,0,ipfs://QmRoutine,PASSED,0
0xeth_demo_02_velocity,0xMERIDIAN_RETAIL_WALLET,0xNORTHFIELD_LOGISTICS,45000.0,1785224321,250.0,15.0,14,20.0,0,ipfs://QmVelocity,PASSED,1
0xeth_demo_04_unknown,0xUNKNOWN_HACKER_NODE,0xDIGITAL_PASSBOOK_CONTRACT,99000.0,1785220721,10.0,10.0,1,100.0,0,ipfs://QmUnknown,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000000,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,120443.04755446702,1782861328,61.40284046402406,8.42249323603691,5,42.10600623585077,0,ipfs://QmInvoice0,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000001,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,14693.027607103853,1783121316,74.99567612968903,7.69148823574082,14,7.1084713789600755,0,ipfs://QmInvoice1,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000002,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,8826.543049273489,1783621518,97.33541523780147,0.6716974187401399,12,46.121252248251245,0,ipfs://QmInvoice2,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000003,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,34613.60547368181,1785231967,73.48255086487832,0.46815405138228317,14,43.62492174104428,0,ipfs://QmInvoice3,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000004,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,213201.84913076297,1783932307,86.14192931017678,6.211848787376692,3,26.423064799177535,0,ipfs://QmInvoice4,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000005,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,14857.24067798631,1784842596,88.68383995142152,3.480659948171888,5,29.972496351501533,0,ipfs://QmInvoice5,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000006,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,56757.75051486467,1783814973,86.27086491993873,2.0992166028743564,5,20.551132489636384,0,ipfs://QmInvoice6,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000007,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,72694.38131197315,1782894787,51.21777537899,5.800702845372666,5,3.6833203022795353,0,ipfs://QmInvoice7,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000008,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,14566.65861679029,1783807169,33.918995493537594,3.422216472460885,3,17.424664840649147,0,ipfs://QmInvoice8,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000009,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,66137.4464246158,1784318632,48.71538616611141,5.37726153297356,11,40.339818981302564,0,ipfs://QmInvoice9,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000000a,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,23926.1399632152,1784065391,90.81123724602601,4.606590398245885,14,1.22696912722554,0,ipfs://QmInvoice10,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000000b,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,51025.187386588565,1784797324,27.461409843822167,5.8518133984320455,10,17.341459412866065,0,ipfs://QmInvoice11,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000000c,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,51191.89135688191,1784095207,58.63272433885339,4.009001884213711,14,20.510265985956224,0,ipfs://QmInvoice12,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000000d,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,39369.26249761744,1782854983,34.82438615608486,6.979699061232348,4,27.33238454395822,0,ipfs://QmInvoice13,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000000e,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,5731.457940581048,1785163439,64.4109604642765,1.8088720507694924,9,46.072925204225264,0,ipfs://QmInvoice14,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000000f,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,91182.23971231485,1782772156,88.36677436906533,6.9680496476085185,13,17.9709537239321,0,ipfs://QmInvoice15,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000010,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,20340.51468336983,1785147569,89.83059733426543,4.1224955314317056,10,18.000706892915158,0,ipfs://QmInvoice16,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000011,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,11321.605330377826,1784573546,35.1182414629767,8.744432872495628,9,37.13756115737767,0,ipfs://QmInvoice17,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000012,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,3081.48798971726,1783422122,92.15396503962643,5.157208188093467,2,23.15867910360055,0,ipfs://QmInvoice18,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000013,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,45688.92022972917,1783475249,65.31054279980917,9.731372389208342,8,12.005636324059116,0,ipfs://QmInvoice19,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000014,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,57592.58671336744,1783715154,44.76855096952665,6.023334601454192,8,23.169536290501977,0,ipfs://QmInvoice20,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000015,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,1836.347377923531,1784946320,75.19540162457199,2.2462521684041423,7,7.901993998610193,0,ipfs://QmInvoice21,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000016,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,36881.52922747442,1784383662,55.9416939769498,8.219688462076048,8,9.642962338804942,0,ipfs://QmInvoice22,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000017,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,13841.207352747882,1783201446,47.12894516039163,3.4573754519456434,14,25.42002086423451,0,ipfs://QmInvoice23,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000018,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,52806.2170773846,1783740553,74.93217096521609,3.482715952682008,3,21.527347025722847,0,ipfs://QmInvoice24,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000019,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,10580.211126956689,1782848536,36.14155312657448,0.3277287680367997,13,45.827449152336904,0,ipfs://QmInvoice25,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000001a,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,59710.626378385954,1782859549,43.071464966623374,5.491665938982012,6,18.757301056715022,0,ipfs://QmInvoice26,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000001b,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,25447.93504905509,1785142705,51.928406781503064,5.3488908022879045,1,29.44882916362413,0,ipfs://QmInvoice27,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000001c,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,139017.19089021537,1783078637,36.56298477921679,3.5663549278771414,7,31.980950108056987,0,ipfs://QmInvoice28,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000001d,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,8397.220671963947,1785215511,49.44217737642045,8.943230456330298,1,1.641628372828348,0,ipfs://QmInvoice29,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000001e,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,21856.621699758587,1783213173,63.5752071424259,1.2961964990134427,9,33.51333122881882,0,ipfs://QmInvoice30,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000001f,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,7022.214251849821,1784358214,77.9827781774068,3.3076941379684524,1,9.72376237661782,0,ipfs://QmInvoice31,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000020,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,130309.51985753619,1785021837,80.21156251422859,3.2226118191534896,1,48.092445556003305,0,ipfs://QmInvoice32,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000021,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,105916.6853580497,1784836288,84.93717990951892,0.9319829564251734,7,8.284473659902535,0,ipfs://QmInvoice33,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000022,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,15916.368503074445,1784575971,78.25799084018033,4.816642486622369,2,21.316582062624164,0,ipfs://QmInvoice34,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000023,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,54938.136952195724,1782816277,72.88835130323727,6.880969323789869,14,5.182133735853549,0,ipfs://QmInvoice35,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000024,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,85974.20363196106,1782875782,35.18805005985995,5.12145356533714,5,49.84683834045142,0,ipfs://QmInvoice36,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000025,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,41506.6180343254,1783027533,49.01894589412211,1.5782070503347754,8,25.607555506230888,0,ipfs://QmInvoice37,PASSED,1
